Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO Code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Month
33898872,2019-01-01,North Korea,,North Korea,Engage in negotiation,46,7.0,United States,,United States,48746043,6,Yonhap English News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
33898873,2019-01-01,United States,,United States,Engage in negotiation,46,7.0,North Korea,,North Korea,48746043,6,Yonhap English News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
33898865,2019-01-01,North Korea,,North Korea,Make statement,10,0.0,Donald Trump,"Executive,Government,Executive Office",United States,48746044,5,Xinhua News Agency,Kaesong,,Hwanghae-namdo,North Korea,37.9708,126.554,1
33898875,2019-01-01,North Korea,,North Korea,Criticize or denounce,111,-2.0,United States,,United States,48746051,6,Agence France-Presse,,,Washington D.C.,United States,38.9171,-77.0003,1
33898856,2019-01-01,North Korea,,North Korea,Demand,100,-5.0,United States,,United States,48746063,6,AAP Bulletins,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
33898930,2019-01-01,South Korea,,South Korea,Praise or endorse,51,3.4,Kim Jong-Un,"Elite,(National) Major Party,Parties,Government,Executive,Executive Office,Government Major Party (In Government)",North Korea,48746226,1,Xinhua News Agency,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33898922,2019-01-01,South Korea,,South Korea,Praise or endorse,51,3.4,Kim Jong-Un,"Elite,(National) Major Party,Parties,Government,Executive,Executive Office,Government Major Party (In Government)",North Korea,48746232,2,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33898921,2019-01-01,North Korea,,North Korea,Express intent to meet or negotiate,36,4.0,Donald Trump,"Executive,Executive Office,Government",United States,48746232,4,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33898959,2019-01-01,South Korea,,South Korea,Praise or endorse,51,3.4,Kim Jong-Un,"Executive,Elite,Government,Parties,(National) Major Party,Government Major Party (In Government),Executive Office",North Korea,48746270,1,Xinhua News Agency,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33898994,2019-01-01,Japan,,Japan,Make empathetic comment,18,3.4,Citizen (Japan),"General Population / Civilian / Social,Social",Japan,48746371,1,PNA (Philippines News Agency),Manila,City of Manila,National Capital Region,Philippines,14.6042,120.982,1
33899128,2019-01-01,North Korea,,North Korea,Express intent to meet or negotiate,36,4.0,Donald Trump,"Executive,Executive Office,Government",United States,48746724,1,L'Expression,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
33899170,2019-01-01,South Korea,,South Korea,Praise or endorse,51,3.4,Kim Jong-Un,"Government Major Party (In Government),(National) Major Party,Parties,Executive,Elite,Government,Executive Office",North Korea,48746834,2,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899169,2019-01-01,North Korea,,North Korea,Express intent to meet or negotiate,36,4.0,Donald Trump,"Government,Executive Office,Executive",United States,48746834,4,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899213,2019-01-01,North Korea,,North Korea,Express intent to meet or negotiate,36,4.0,Donald Trump,"Executive,Government,Executive Office",United States,48746934,1,New Zealand Herald,,,,North Korea,39.0339,125.754,1
33899602,2019-01-01,North Korea,,North Korea,Consult,40,1.0,Donald Trump,"Government,Executive,Executive Office",United States,48747986,1,Yonhap English News,,,Washington D.C.,United States,38.9171,-77.0003,1
33899649,2019-01-01,North Korea,,North Korea,Threaten,130,-4.4,United States,,United States,48748046,5,Yonhap English News,,,,North Korea,39.0339,125.754,1
33899626,2019-01-01,South Korea,,South Korea,Host a visit,43,2.8,Kim Jong-Un,"Executive Office,Parties,Government Major Party (In Government),(National) Major Party,Executive,Elite,Government",North Korea,48748075,1,Korea Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899627,2019-01-01,South Korea,,South Korea,Host a visit,43,2.8,Kim Jong-Un,"Executive Office,Parties,Government Major Party (In Government),(National) Major Party,Executive,Elite,Government",North Korea,48748075,2,Korea Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899628,2019-01-01,South Korea,,South Korea,Host a visit,43,2.8,Kim Jong-Un,"Executive Office,Parties,Government Major Party (In Government),(National) Major Party,Executive,Elite,Government",North Korea,48748075,6,Korea Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899636,2019-01-01,South Korea,,South Korea,Engage in negotiation,46,7.0,United States,,United States,48748076,6,Korea Times,,,,South Korea,37.5683,126.978,1
33899637,2019-01-01,United States,,United States,Engage in negotiation,46,7.0,South Korea,,South Korea,48748076,6,Korea Times,,,,United States,38.8951,-77.0364,1
33899651,2019-01-01,South Korea,,South Korea,Host a visit,43,2.8,South Korea's Samsung Electronics,"Business,Social,Consumer Goods Business",South Korea,48748084,1,Korea Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
33899622,2019-01-01,China,,China,Engage in diplomatic cooperation,50,3.5,United States,,United States,48748091,5,L'Expression,,,South China Sea,Vietnam,15.0,115.0,1
33899621,2019-01-01,United States,,United States,Engage in diplomatic cooperation,50,3.5,China,,China,48748091,5,L'Expression,,,South China Sea,Vietnam,15.0,115.0,1
33899678,2019-01-01,North Korea,,North Korea,Express intent to meet or negotiate,36,4.0,Head of Government (United States),"Government,Executive,Executive Office",United States,48748274,6,L'Expression,,,,United States,38.8951,-77.0364,1
33899925,2019-01-02,North Korea,,North Korea,Sign formal agreement,57,8.0,United States,,United States,48748626,4,Yonhap English News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
33899926,2019-01-02,United States,,United States,Sign formal agreement,57,8.0,North Korea,,North Korea,48748626,4,Yonhap English News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
