Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO Code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Month
20718278,2014-01-01,South Korea,,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,China,,China,32502857,4,PNA (Philippines News Agency),Beijing,,Beijing Shi,China,39.9075,116.397,1
20718281,2014-01-01,China,,China,Criticize or denounce,111,-2.0,Shinzo Abe,"Government,Executive Office,Buddhist,Executive,Shinto,International Religious,Parties,Elite,Center Right,Ideological,(National) Major Party",Japan,32502857,6,PNA (Philippines News Agency),Yasukuni Shrine,,,Japan,35.6945,139.743,1
20718282,2014-01-01,South Korea,,South Korea,Criticize or denounce,111,-2.0,Shinzo Abe,"Government,Executive Office,Buddhist,Executive,Shinto,International Religious,Parties,Elite,Center Right,Ideological,(National) Major Party",Japan,32502857,6,PNA (Philippines News Agency),Yasukuni Shrine,,,Japan,35.6945,139.743,1
20718290,2014-01-01,China,,China,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,United States,,United States,32502877,1,PNA (Philippines News Agency),Beijing,,Beijing Shi,China,39.9075,116.397,1
20718645,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Yoshitaka Shindo,"Government,Executive,Interior / Home Ministry,Information / Communication / Transparency Ministry",Japan,32504757,4,Central News Agency English News,Yasukuni Shrine,,,Japan,35.6945,139.743,1
20718641,2014-01-01,Taiwan,,Taiwan,Make optimistic comment,13,0.4,Government (Japan),Government,Japan,32504757,6,Central News Agency English News,Taipei,,Taipei,Taiwan,25.0478,121.532,1
20718647,2014-01-01,China,,China,Make pessimistic comment,12,-0.4,Japan,,Japan,32504758,1,Central News Agency English News,Taipei,,Taipei,Taiwan,25.0478,121.532,1
20718646,2014-01-01,China,,China,Make pessimistic comment,12,-0.4,United States,,United States,32504758,1,Central News Agency English News,Taipei,,Taipei,Taiwan,25.0478,121.532,1
20718720,2014-01-01,China,,China,Make pessimistic comment,12,-0.4,Japan,,Japan,32504899,2,BBC Monitoring Asia Pacific,Taipei,,Taipei,Taiwan,25.0478,121.532,1
20718719,2014-01-01,China,,China,Make pessimistic comment,12,-0.4,United States,,United States,32504899,2,BBC Monitoring Asia Pacific,Taipei,,Taipei,Taiwan,25.0478,121.532,1
20718748,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Shinzo Abe,"Government,Executive Office,Buddhist,Executive,Shinto,International Religious,Parties,Elite,Center Right,Ideological,(National) Major Party",Japan,32504929,2,Kyodo News,Tokyo,,Tokyo-to,Japan,35.6895,139.692,1
20718758,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Yoshitaka Shindo,"Government,Executive,Interior / Home Ministry,Information / Communication / Transparency Ministry",Japan,32504941,2,Agence France-Presse,Ikutahara-yasukuni,,Hokkaido,Japan,43.9894,143.537,1
20718830,2014-01-01,North Korea,,North Korea,Praise or endorse,51,3.4,Military (North Korea),"Military,Government",North Korea,32505086,3,Agence France-Presse,,,,North Korea,39.0339,125.754,1
20718891,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Yoshitaka Shindo,"Government,Executive,Interior / Home Ministry,Information / Communication / Transparency Ministry",Japan,32505204,1,Jiji Press English News Service,Yasukuni Shrine,,,Japan,35.6945,139.743,1
20718892,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Shinzo Abe,"Government,Executive Office,Buddhist,Executive,Shinto,International Religious,Parties,Elite,Center Right,Ideological,(National) Major Party",Japan,32505204,2,Jiji Press English News Service,Tokyo,,Tokyo-to,Japan,35.6895,139.692,1
20718888,2014-01-01,United States,,United States,Make an appeal or request,20,3.0,Japan,,Japan,32505204,3,Jiji Press English News Service,Tokyo,,Tokyo-to,Japan,35.6895,139.692,1
20718951,2014-01-01,Japan,,Japan,Host a visit,43,2.8,Shinzo Abe,"Government,Executive Office,Buddhist,Executive,Shinto,International Religious,Parties,Elite,Center Right,Ideological,(National) Major Party",Japan,32505337,2,Kyodo News,Tokyo,,Tokyo-to,Japan,35.6895,139.692,1
