Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO Code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Month
25326155,2017-01-01,United States,,United States,Host a visit,043,2.8,Head of Government (Taiwan),"Government,Executive Office,Executive",Taiwan,43113947,1,Agence France-Presse,,,,United States,38.8951,-77.0364,1
25326153,2017-01-01,China,,China,Make an appeal or request,020,3.0,United States,,United States,43113947,4,Agence France-Presse,Beijing,,Beijing Shi,China,39.9075,116.397,1
25326264,2017-01-01,United States,,United States,Reduce or stop military assistance,1622,-5.6,South Korea,,South Korea,43114234,5,Associated Press Newswires,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326243,2017-01-01,Taiwan,,Taiwan,Host a visit,043,2.8,Chen Chien-Jen,"Elite,Executive,Government,Executive Office",Taiwan,43114252,2,Taipei Times,Taipei,,Taipei,Taiwan,25.0478,121.532,1
25326362,2017-01-01,North Korea,,North Korea,Make an appeal or request,020,3.0,United States,,United States,43114607,1,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326363,2017-01-01,United States,,United States,Cooperate militarily,062,7.4,South Korea,,South Korea,43114607,3,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326364,2017-01-01,South Korea,,South Korea,Cooperate militarily,062,7.4,United States,,United States,43114607,3,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326462,2017-01-01,North Korea,,North Korea,Make an appeal or request,020,3.0,United States,,United States,43114892,1,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326463,2017-01-01,United States,,United States,Cooperate militarily,062,7.4,South Korea,,South Korea,43114892,3,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326464,2017-01-01,South Korea,,South Korea,Cooperate militarily,062,7.4,United States,,United States,43114892,3,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25326918,2017-01-01,China,,China,"Return, release person(s)",0841,7.0,Citizen (China),"Social,General Population / Civilian / Social",China,43115853,2,Reuters News,,,Anhui Sheng,China,32.0,117.0,1
25327153,2017-01-01,United States,,United States,Accuse,112,-2.0,China,,China,43116452,4,Unknown,,,Washington D.C.,United States,38.9171,-77.0003,1
25327238,2017-01-01,United States,,United States,Threaten,130,-4.4,North Korea,,North Korea,43116764,1,Agence France-Presse,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25327239,2017-01-01,United States,,United States,Criticize or denounce,111,-2.0,North Korea,,North Korea,43116764,1,Agence France-Presse,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
25327413,2017-01-01,South Korea,,South Korea,Expel or deport individuals,174,-5.0,Citizen (South Korea),"General Population / Civilian / Social,Social",South Korea,43117465,6,The Korea Herald,,,,South Korea,37.5683,126.978,1
25331006,2017-01-01,China,,China,Praise or endorse,051,3.4,Hong Kong,,Hong Kong,43126757,5,Unknown,Beijing,,Beijing Shi,China,39.9075,116.397,1
25331052,2017-01-01,China,,China,Ease administrative sanctions,081,5.0,Party Member (China),Parties,China,43127352,1,South China Morning Post,Beijing,,Beijing Shi,China,39.9075,116.397,1
25327723,2017-01-02,China,,China,Threaten,130,-4.4,Hong Kong,,Hong Kong,43118272,1,Agence France-Presse,Beijing,,Beijing Shi,China,39.9075,116.397,1
25327871,2017-01-02,North Korea,,North Korea,Threaten with military force,138,-7.0,United States,,United States,43118583,2,The New York Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
25327872,2017-01-02,United States,,United States,Engage in diplomatic cooperation,050,3.5,South Korea,,South Korea,43118583,4,The New York Times,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
25328116,2017-01-02,South Korea,,South Korea,Make statement,010,0.0,United States,,United States,43119205,5,Reuters News,Jeju,,Jeju-teukbyeoljachido,South Korea,33.5097,126.522,1
